phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval
streets,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
earlier,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
replace,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
000 new,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
mr president,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
health services,health care,7,6,13,30.43,22.22,0.322185061,0.570297453
ranked,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
modern,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
online,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
listen,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
waiting,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
zip,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
sit,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
resources,NA,14,20,34,60.87,74.07,0.318461684,0.572533586
growth,economy/fiscal issues,14,20,34,60.87,74.07,0.318461684,0.572533586
mr,NA,11,16,27,47.83,59.26,0.300650086,0.583475162
right thing,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
incentives,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
born,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
cutting,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
driving,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
institutions,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
dangerous,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
remind,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
realize,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
superintendent,education,5,8,13,21.74,29.63,0.297411123,0.585509984
case,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
region,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
reducing,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
unfortunately,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
options,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
quickly,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
deep,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
dignity,NA,5,8,13,21.74,29.63,0.297411123,0.585509984
tax,economy/fiscal issues,18,25,43,78.26,92.59,0.296633337,0.586000755
day,NA,23,23,46,100,85.19,0.296296296,0.586213681
hard,NA,23,23,46,100,85.19,0.296296296,0.586213681
family,NA,23,23,46,100,85.19,0.296296296,0.586213681
wanted,NA,8,12,20,34.78,44.44,0.289855072,0.590313418
initiatives,NA,8,12,20,34.78,44.44,0.289855072,0.590313418
creation,NA,8,12,20,34.78,44.44,0.289855072,0.590313418
place,NA,22,22,44,95.65,81.48,0.283413849,0.59447234
children,NA,22,22,44,95.65,81.48,0.283413849,0.59447234
leadership,NA,15,21,36,65.22,77.78,0.272141707,0.601898702
protect,NA,15,21,36,65.22,77.78,0.272141707,0.601898702
department,NA,15,21,36,65.22,77.78,0.272141707,0.601898702
home,NA,21,21,42,91.3,77.78,0.270531401,0.602975527
service,NA,21,21,42,91.3,77.78,0.270531401,0.602975527
change,NA,21,21,42,91.3,77.78,0.270531401,0.602975527
great,NA,19,26,45,82.61,96.3,0.258543568,0.611122513
cost,economy/fiscal issues,20,20,40,86.96,74.07,0.257648953,0.611739976
came,NA,12,17,29,52.17,62.96,0.249264257,0.617593614
challenge,NA,12,17,29,52.17,62.96,0.249264257,0.617593614
industry,economy/fiscal issues,12,17,29,52.17,62.96,0.249264257,0.617593614
private,NA,12,17,29,52.17,62.96,0.249264257,0.617593614
reduce,NA,12,17,29,52.17,62.96,0.249264257,0.617593614
criminal,crime/justice,12,17,29,52.17,62.96,0.249264257,0.617593614
meet,NA,12,17,29,52.17,62.96,0.249264257,0.617593614
development,NA,19,19,38,82.61,70.37,0.244766506,0.620784491
challenges,NA,19,19,38,82.61,70.37,0.244766506,0.620784491
teachers,education,19,19,38,82.61,70.37,0.244766506,0.620784491
employees,economy/fiscal issues,19,19,38,82.61,70.37,0.244766506,0.620784491
sure,NA,19,19,38,82.61,70.37,0.244766506,0.620784491
let clear,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
high speed internet,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
great progress,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
companies like,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
retain best,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
justices supreme,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
justices supreme court,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
generations come,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
second chance,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
speed internet,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
work legislature,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
distinguished guests,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
dollars year,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
place live,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
advanced manufacturing,economy/fiscal issues,3,5,8,13.04,18.52,0.232689211,0.629536949
additional funding,economy/fiscal issues,3,5,8,13.04,18.52,0.232689211,0.629536949
post secondary,education,3,5,8,13.04,18.52,0.232689211,0.629536949
middle school,education,3,5,8,13.04,18.52,0.232689211,0.629536949
working make,NA,3,5,8,13.04,18.52,0.232689211,0.629536949
growing,NA,16,22,38,69.57,81.48,0.232053564,0.630005305
grow,NA,16,22,38,69.57,81.48,0.232053564,0.630005305
programs,NA,16,22,38,69.57,81.48,0.232053564,0.630005305
investment,NA,16,22,38,69.57,81.48,0.232053564,0.630005305
said,NA,16,22,38,69.57,81.48,0.232053564,0.630005305
federal,NA,18,18,36,78.26,66.67,0.231884058,0.630130333
means,NA,18,18,36,78.26,66.67,0.231884058,0.630130333
dollar,economy/fiscal issues,9,13,22,39.13,48.15,0.229541795,0.631863789
debt,economy/fiscal issues,9,13,22,39.13,48.15,0.229541795,0.631863789
25,NA,9,13,22,39.13,48.15,0.229541795,0.631863789
based,NA,9,13,22,39.13,48.15,0.229541795,0.631863789
focused,NA,9,13,22,39.13,48.15,0.229541795,0.631863789
outside,NA,9,13,22,39.13,48.15,0.229541795,0.631863789
double,NA,9,13,22,39.13,48.15,0.229541795,0.631863789
personal,NA,9,13,22,39.13,48.15,0.229541795,0.631863789
life,NA,20,27,47,86.96,100,0.224791859,0.635412769
live,NA,17,17,34,73.91,62.96,0.21900161,0.639801696
open,NA,17,17,34,73.91,62.96,0.21900161,0.639801696
water,NA,17,17,34,73.91,62.96,0.21900161,0.639801696
passing,NA,6,9,15,26.09,33.33,0.217391304,0.641034843
world class,NA,6,9,15,26.09,33.33,0.217391304,0.641034843
west,NA,6,9,15,26.09,33.33,0.217391304,0.641034843
situation,NA,6,9,15,26.09,33.33,0.217391304,0.641034843
paying jobs,economy/fiscal issues,6,9,15,26.09,33.33,0.217391304,0.641034843
hire,NA,6,9,15,26.09,33.33,0.217391304,0.641034843
global,NA,6,9,15,26.09,33.33,0.217391304,0.641034843
look forward working,NA,6,9,15,26.09,33.33,0.217391304,0.641034843
exactly,NA,6,9,15,26.09,33.33,0.217391304,0.641034843
sustainable,NA,6,9,15,26.09,33.33,0.217391304,0.641034843
elected officials,NA,6,9,15,26.09,33.33,0.217391304,0.641034843
courts,NA,6,9,15,26.09,33.33,0.217391304,0.641034843
pro,NA,6,9,15,26.09,33.33,0.217391304,0.641034843
aid,NA,6,9,15,26.09,33.33,0.217391304,0.641034843
record,NA,13,18,31,56.52,66.67,0.206171108,0.649785147
comes,NA,13,18,31,56.52,66.67,0.206171108,0.649785147
county,NA,13,18,31,56.52,66.67,0.206171108,0.649785147
student,NA,16,16,32,69.57,59.26,0.206119163,0.64982632
tell,NA,16,16,32,69.57,59.26,0.206119163,0.64982632
early,NA,16,16,32,69.57,59.26,0.206119163,0.64982632
weeks,NA,16,16,32,69.57,59.26,0.206119163,0.64982632
12,NA,16,16,32,69.57,59.26,0.206119163,0.64982632
seen,NA,16,16,32,69.57,59.26,0.206119163,0.64982632
address,NA,17,23,40,73.91,85.19,0.19726248,0.656939627
pay,NA,17,23,40,73.91,85.19,0.19726248,0.656939627
week,NA,15,15,30,65.22,55.56,0.193236715,0.660236271
coming,NA,15,15,30,65.22,55.56,0.193236715,0.660236271
class,NA,15,15,30,65.22,55.56,0.193236715,0.660236271
technology,NA,15,15,30,65.22,55.56,0.193236715,0.660236271
statewide,NA,15,15,30,65.22,55.56,0.193236715,0.660236271
honored,NA,10,14,24,43.48,51.85,0.181427805,0.670149068
struggling,NA,10,14,24,43.48,51.85,0.181427805,0.670149068
vision,NA,10,14,24,43.48,51.85,0.181427805,0.670149068
greatest,NA,10,14,24,43.48,51.85,0.181427805,0.670149068
increasing,NA,10,14,24,43.48,51.85,0.181427805,0.670149068
impact,NA,14,14,28,60.87,51.85,0.180354267,0.671068965
economic development,economy/fiscal issues,14,14,28,60.87,51.85,0.180354267,0.671068965
stay,NA,14,14,28,60.87,51.85,0.180354267,0.671068965
got,NA,14,14,28,60.87,51.85,0.180354267,0.671068965
path,NA,14,14,28,60.87,51.85,0.180354267,0.671068965
rest,NA,13,13,26,56.52,48.15,0.16747182,0.682368525
living,NA,13,13,26,56.52,48.15,0.16747182,0.682368525
close,NA,13,13,26,56.52,48.15,0.16747182,0.682368525
little,NA,13,13,26,56.52,48.15,0.16747182,0.682368525
really,NA,13,13,26,56.52,48.15,0.16747182,0.682368525
sector,NA,13,13,26,56.52,48.15,0.16747182,0.682368525
able,NA,13,13,26,56.52,48.15,0.16747182,0.682368525
moving,NA,13,13,26,56.52,48.15,0.16747182,0.682368525
senate,NA,13,13,26,56.52,48.15,0.16747182,0.682368525
support,NA,18,24,42,78.26,88.89,0.167011732,0.682781347
ago,NA,18,24,42,78.26,88.89,0.167011732,0.682781347
safety,NA,18,24,42,78.26,88.89,0.167011732,0.682781347
business,economy/fiscal issues,23,24,47,100,88.89,0.163120567,0.686299587
care,NA,23,24,47,100,88.89,0.163120567,0.686299587
want,NA,23,24,47,100,88.89,0.163120567,0.686299587
general assembly,NA,7,10,17,30.43,37.04,0.159230842,0.689865651
grateful,NA,7,10,17,30.43,37.04,0.159230842,0.689865651
levels,NA,7,10,17,30.43,37.04,0.159230842,0.689865651
60,NA,7,10,17,30.43,37.04,0.159230842,0.689865651
billion dollars,economy/fiscal issues,7,10,17,30.43,37.04,0.159230842,0.689865651
substance,mental health/substance abuse,7,10,17,30.43,37.04,0.159230842,0.689865651
began,NA,7,10,17,30.43,37.04,0.159230842,0.689865651
capacity,NA,7,10,17,30.43,37.04,0.159230842,0.689865651
dedicated,NA,12,12,24,52.17,44.44,0.154589372,0.694187611
fall,NA,12,12,24,52.17,44.44,0.154589372,0.694187611
expect,NA,12,12,24,52.17,44.44,0.154589372,0.694187611
pass,NA,12,12,24,52.17,44.44,0.154589372,0.694187611
spent,NA,12,12,24,52.17,44.44,0.154589372,0.694187611
asked,NA,12,12,24,52.17,44.44,0.154589372,0.694187611
treatment,NA,12,12,24,52.17,44.44,0.154589372,0.694187611
lower,NA,12,12,24,52.17,44.44,0.154589372,0.694187611
requires,NA,12,12,24,52.17,44.44,0.154589372,0.694187611
priorities,NA,12,12,24,52.17,44.44,0.154589372,0.694187611
past years,NA,12,12,24,52.17,44.44,0.154589372,0.694187611
free,NA,12,12,24,52.17,44.44,0.154589372,0.694187611
used,NA,12,12,24,52.17,44.44,0.154589372,0.694187611
past,NA,22,23,45,95.65,85.19,0.151189837,0.697400891
communities,NA,22,23,45,95.65,85.19,0.151189837,0.697400891
inaugural address,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
math,education,4,6,10,17.39,22.22,0.144927536,0.703430697
professional,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
sat,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
bond,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
mistakes,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
price,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
opioid crisis,mental health/substance abuse,4,6,10,17.39,22.22,0.144927536,0.703430697
certificate,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
held,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
outlined,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
hub,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
headed,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
oil,energy/environment,4,6,10,17.39,22.22,0.144927536,0.703430697
90,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
justice reform,crime/justice,4,6,10,17.39,22.22,0.144927536,0.703430697
activity,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
stem,education,4,6,10,17.39,22.22,0.144927536,0.703430697
agenda,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
demands,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
salaries,economy/fiscal issues,4,6,10,17.39,22.22,0.144927536,0.703430697
digital,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
local school,education,4,6,10,17.39,22.22,0.144927536,0.703430697
walk,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
earning,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
watching,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
enhance,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
criminal justice reform,crime/justice,4,6,10,17.39,22.22,0.144927536,0.703430697
dramatically,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
good people,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
felt,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
hiring,economy/fiscal issues,4,6,10,17.39,22.22,0.144927536,0.703430697
travel,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
supply,economy/fiscal issues,4,6,10,17.39,22.22,0.144927536,0.703430697
street,NA,4,6,10,17.39,22.22,0.144927536,0.703430697
simply,NA,11,15,26,47.83,55.56,0.142697882,0.705613548
districts,NA,11,15,26,47.83,55.56,0.142697882,0.705613548
sense,NA,11,15,26,47.83,55.56,0.142697882,0.705613548
generations,NA,11,15,26,47.83,55.56,0.142697882,0.705613548
truly,NA,11,15,26,47.83,55.56,0.142697882,0.705613548
priority,NA,11,15,26,47.83,55.56,0.142697882,0.705613548
2017,NA,11,15,26,47.83,55.56,0.142697882,0.705613548
recent,NA,11,11,22,47.83,40.74,0.141706924,0.706589961
proposal,NA,11,11,22,47.83,40.74,0.141706924,0.706589961
rates,NA,11,11,22,47.83,40.74,0.141706924,0.706589961
united states,NA,11,11,22,47.83,40.74,0.141706924,0.706589961
expanding,NA,11,11,22,47.83,40.74,0.141706924,0.706589961
major,NA,11,11,22,47.83,40.74,0.141706924,0.706589961
policies,NA,11,11,22,47.83,40.74,0.141706924,0.706589961
game,NA,11,11,22,47.83,40.74,0.141706924,0.706589961
opioid,mental health/substance abuse,11,11,22,47.83,40.74,0.141706924,0.706589961
risk,NA,11,11,22,47.83,40.74,0.141706924,0.706589961
spend,economy/fiscal issues,11,11,22,47.83,40.74,0.141706924,0.706589961
million,NA,19,25,44,82.61,92.59,0.140682184,0.707603769
program,NA,19,25,44,82.61,92.59,0.140682184,0.707603769
fund,economy/fiscal issues,21,22,43,91.3,81.48,0.139347639,0.708930411
states,NA,21,22,43,91.3,81.48,0.139347639,0.708930411
times,NA,15,20,35,65.22,74.07,0.139176444,0.709101115
administration,NA,15,20,35,65.22,74.07,0.139176444,0.709101115
seeing,NA,10,10,20,43.48,37.04,0.128824477,0.719653989
educators,education,10,10,20,43.48,37.04,0.128824477,0.719653989
fight,NA,10,10,20,43.48,37.04,0.128824477,0.719653989
state employees,NA,10,10,20,43.48,37.04,0.128824477,0.719653989
want thank,NA,10,10,20,43.48,37.04,0.128824477,0.719653989
send,NA,10,10,20,43.48,37.04,0.128824477,0.719653989
joined,NA,10,10,20,43.48,37.04,0.128824477,0.719653989
strengthen,NA,10,10,20,43.48,37.04,0.128824477,0.719653989
goals,NA,10,10,20,43.48,37.04,0.128824477,0.719653989
serving,NA,10,10,20,43.48,37.04,0.128824477,0.719653989
air,NA,10,10,20,43.48,37.04,0.128824477,0.719653989
young,NA,20,21,41,86.96,77.78,0.127606928,0.720926276
quality,NA,20,21,41,86.96,77.78,0.127606928,0.720926276
government,NA,20,26,46,86.96,96.3,0.117762375,0.731474161
rising,NA,8,11,19,34.78,40.74,0.116026782,0.733384369
taken,NA,8,11,19,34.78,40.74,0.116026782,0.733384369
data,NA,8,11,19,34.78,40.74,0.116026782,0.733384369
hands,NA,8,11,19,34.78,40.74,0.116026782,0.733384369
mission,NA,8,11,19,34.78,40.74,0.116026782,0.733384369
manufacturing,economy/fiscal issues,8,11,19,34.78,40.74,0.116026782,0.733384369
talking,NA,8,11,19,34.78,40.74,0.116026782,0.733384369
ensure,NA,19,20,39,82.61,74.07,0.115983319,0.733432409
believe,NA,19,20,39,82.61,74.07,0.115983319,0.733432409
colleges,education,9,9,18,39.13,33.33,0.115942029,0.733478056
supreme court,NA,9,9,18,39.13,33.33,0.115942029,0.733478056
addition,NA,9,9,18,39.13,33.33,0.115942029,0.733478056
supreme,NA,9,9,18,39.13,33.33,0.115942029,0.733478056
ones,NA,9,9,18,39.13,33.33,0.115942029,0.733478056
daughter,NA,9,9,18,39.13,33.33,0.115942029,0.733478056
vulnerable,NA,9,9,18,39.13,33.33,0.115942029,0.733478056
careers,economy/fiscal issues,9,9,18,39.13,33.33,0.115942029,0.733478056
solution,NA,9,9,18,39.13,33.33,0.115942029,0.733478056
speed,NA,9,9,18,39.13,33.33,0.115942029,0.733478056
son,NA,9,9,18,39.13,33.33,0.115942029,0.733478056
hope,NA,16,21,37,69.57,77.78,0.113200157,0.736529809
increase,NA,16,21,37,69.57,77.78,0.113200157,0.736529809
took,NA,16,21,37,69.57,77.78,0.113200157,0.736529809
high school,education,16,21,37,69.57,77.78,0.113200157,0.736529809
committed,NA,12,16,28,52.17,59.26,0.111341155,0.738622386
elected,NA,12,16,28,52.17,59.26,0.111341155,0.738622386
level,NA,12,16,28,52.17,59.26,0.111341155,0.738622386
moment,NA,12,16,28,52.17,59.26,0.111341155,0.738622386
medicaid,health care,12,16,28,52.17,59.26,0.111341155,0.738622386
far,NA,12,16,28,52.17,59.26,0.111341155,0.738622386
rate,NA,18,19,37,78.26,70.37,0.1044958,0.746499782
national,NA,18,19,37,78.26,70.37,0.1044958,0.746499782
21st century,NA,8,8,16,34.78,29.63,0.103059581,0.748188459
21st,NA,8,8,16,34.78,29.63,0.103059581,0.748188459
regardless,NA,8,8,16,34.78,29.63,0.103059581,0.748188459
secure,NA,8,8,16,34.78,29.63,0.103059581,0.748188459
groups,NA,8,8,16,34.78,29.63,0.103059581,0.748188459
bad,NA,8,8,16,34.78,29.63,0.103059581,0.748188459
internet,NA,8,8,16,34.78,29.63,0.103059581,0.748188459
november,NA,8,8,16,34.78,29.63,0.103059581,0.748188459
land,NA,8,8,16,34.78,29.63,0.103059581,0.748188459
governors,NA,8,8,16,34.78,29.63,0.103059581,0.748188459
learned,NA,8,8,16,34.78,29.63,0.103059581,0.748188459
maintain,NA,8,8,16,34.78,29.63,0.103059581,0.748188459
creates,NA,8,8,16,34.78,29.63,0.103059581,0.748188459
let make,NA,8,8,16,34.78,29.63,0.103059581,0.748188459
workforce,economy/fiscal issues,17,18,35,73.91,66.67,0.093167702,0.760188055
middle,NA,17,18,35,73.91,66.67,0.093167702,0.760188055
efforts,NA,17,22,39,73.91,81.48,0.091209381,0.762645272
proud,NA,17,22,39,73.91,81.48,0.091209381,0.762645272
response,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
took office,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
victims,crime/justice,5,7,12,21.74,25.93,0.090713902,0.763271531
final,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
providers,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
announced,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
announcing,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
worse,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
unprecedented,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
members general assembly,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
constitution,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
decided,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
reduced,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
terms,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
daily,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
members general,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
regional,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
legislative session,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
speak,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
public school,education,5,7,12,21.74,25.93,0.090713902,0.763271531
highway,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
sign,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
stepped,NA,5,7,12,21.74,25.93,0.090713902,0.763271531
push,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
wasn,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
worst,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
delivered,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
representatives,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
ve seen,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
construction,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
trying,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
yes,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
partisan,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
conditions,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
extend,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
centers,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
classes,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
choose,NA,7,7,14,30.43,25.93,0.090177134,0.763952088
university,education,13,17,30,56.52,62.96,0.085882984,0.769477828
credit,NA,13,17,30,56.52,62.96,0.085882984,0.769477828
goal,NA,13,17,30,56.52,62.96,0.085882984,0.769477828
action,NA,13,17,30,56.52,62.96,0.085882984,0.769477828
facilities,NA,9,12,21,39.13,44.44,0.083505866,0.772601415
using,NA,9,12,21,39.13,44.44,0.083505866,0.772601415
require,NA,9,12,21,39.13,44.44,0.083505866,0.772601415
task,NA,9,12,21,39.13,44.44,0.083505866,0.772601415
later,NA,9,12,21,39.13,44.44,0.083505866,0.772601415
agriculture,NA,9,12,21,39.13,44.44,0.083505866,0.772601415
ask,NA,16,17,33,69.57,62.96,0.08202801,0.774567698
taking,NA,16,17,33,69.57,62.96,0.08202801,0.774567698
potential,NA,16,17,33,69.57,62.96,0.08202801,0.774567698
single,NA,16,17,33,69.57,62.96,0.08202801,0.774567698
state country,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
visit,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
state agencies,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
rely,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
education funding,education,6,6,12,26.09,22.22,0.077294686,0.780997606
entrepreneurs,economy/fiscal issues,6,6,12,26.09,22.22,0.077294686,0.780997606
burden,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
white,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
beginning,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
implement,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
deserves,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
read,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
substance abuse,mental health/substance abuse,6,6,12,26.09,22.22,0.077294686,0.780997606
summer,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
acknowledge,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
suffering,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
states america,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
2015,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
promises,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
thinking,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
source,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
charge,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
mike,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
father,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
traffic,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
70,NA,6,6,12,26.09,22.22,0.077294686,0.780997606
billion,NA,18,23,41,78.26,85.19,0.072620871,0.787558331
funding,economy/fiscal issues,18,23,41,78.26,85.19,0.072620871,0.787558331
cities towns,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
help children,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
tax increase,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
attract retain,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
solve problems,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
balance budget,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
year plan,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
balanced budget,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
cabinet members,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
local school districts,education,2,3,5,8.7,11.11,0.072463768,0.787782743
campaign trail,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
trump administration,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
president pro,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
happening state,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
good thing,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
work ensure,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
work good,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
state governor,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
recidivism rate,crime/justice,2,3,5,8.7,11.11,0.072463768,0.787782743
state employee,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
000 jobs,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
new england,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
new state,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
new technology,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
nation let,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
playing field,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
speed broadband,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
state people,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
work budget,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
vulnerable children,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
200 000,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
high speed broadband,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
places like,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
20 million,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
going come,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
going forward,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
17 000,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
want come,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
doesn make,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
oil gas,energy/environment,2,3,5,8.7,11.11,0.072463768,0.787782743
mr speaker mr,NA,2,3,5,8.7,11.11,0.072463768,0.787782743
students like,education,2,3,5,8.7,11.11,0.072463768,0.787782743
